id,yr,monthnum,monthname,monthend,cregion,cdistrict,pregion,pdistrict,creason,tpeople,yrmonthnam,yrmonthnum,pvalue,adjustments,changedvalue,comments
120,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Bay,Qansax Dheere,Drought related,11,Jan '16,2016-01,,,,
121,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,7,Jan '16,2016-01,,,,
122,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,6,Jan '16,2016-01,,,,
123,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,4,Jan '16,2016-01,,,,
124,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,234,Jan '16,2016-01,,,,
125,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Galgaduud,Cadaado,Drought related,7,Jan '16,2016-01,,,,
126,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Galgaduud,Cadaado,Drought related,7,Jan '16,2016-01,,,,
127,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Galgaduud,Ceel Dheer,Conflict/Insecurity,8,Jan '16,2016-01,,,,
128,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Galgaduud,Ceel Dheer,Conflict/Insecurity,6,Jan '16,2016-01,,,,
129,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Galgaduud,Ceel Dheer,Conflict/Insecurity,8,Jan '16,2016-01,,,,
130,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,6,Jan '16,2016-01,,,,
131,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,4,Jan '16,2016-01,,,,
132,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Hiraan,Jalalaqsi,Drought related,4,Jan '16,2016-01,,,,
133,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Lower Juba,Kismayo,Other,7,Jan '16,2016-01,,,,
134,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Lower Juba,Kismayo,Other,6,Jan '16,2016-01,,,,
135,2016,1,Jan,31/01/2016,Mudug,Gaalkacyo,Mudug,Gaalkacyo,Conflict/Insecurity,129,Jan '16,2016-01,,,,
